"Target_Family","LogP","MolMR","TPSA","HBA","HBD","RotatableBonds","RingCount","NumAromaticRings","NumAliphaticRings","FractionCSP3","LipinskiViolations","AromaticRingFraction","FlexibilityIndex","HeteroatomFraction","TPSA_per_MW"
"Riboswitch",1.971,66.835,66.18,2,2,0,3,3,0,0,0,1,0,0.1875,0.31475316275088
"Other",1.971,66.835,66.18,2,2,0,3,3,0,0,0,1,0,0.1875,0.31475316275088
"Riboswitch",3.328,134.438,74.03,3,2,2,8,5,3,0.321,0,0.625,0.0571428571428571,0.2,0.158336345495338
"Other",3.328,134.438,74.03,3,2,2,8,5,3,0.321,0,0.625,0.0571428571428571,0.2,0.158336345495338
"Ribozyme",-0.756,98.169,121.68,2,4,10,2,2,0,0.263,0,1,0.4,0.24,0.355329208072584
"mRNA",4.316,92.351,19.67,0,1,2,4,4,0,0.05,0,1,0.0909090909090909,0.0909090909090909,0.0689280583102639
"Other",4.316,92.351,19.67,0,1,2,4,4,0,0.05,0,1,0.0909090909090909,0.0909090909090909,0.0689280583102639
"mRNA",5.963,119.17,8.81,0,0,3,5,5,0,0.115,1,1,0.107142857142857,0.0714285714285714,0.0242376555776871
"Other",5.963,119.17,8.81,0,0,3,5,5,0,0.115,1,1,0.107142857142857,0.0714285714285714,0.0242376555776871
"mRNA",2.006,132.36,24.03,3,1,4,5,3,2,0.37,0,0.6,0.125,0.15625,0.0558063707047906
"Other",2.006,132.36,24.03,3,1,4,5,3,2,0.37,0,0.6,0.125,0.15625,0.0558063707047906
"mRNA",2.651,121.184,27.35,1,2,3,5,4,1,0.24,0,0.8,0.103448275862069,0.137931034482759,0.0711263448340429
"mRNA",2.651,121.184,27.35,1,2,3,5,4,1,0.24,0,0.8,0.103448275862069,0.137931034482759,0.0711263448340429
"Other",2.651,121.184,27.35,1,2,3,5,4,1,0.24,0,0.8,0.103448275862069,0.137931034482759,0.0711263448340429
"mRNA",4.297,148.004,16.49,1,1,4,6,5,1,0.258,0,0.833333333333333,0.114285714285714,0.114285714285714,0.035643187698453
"mRNA",4.297,148.004,16.49,1,1,4,6,5,1,0.258,0,0.833333333333333,0.114285714285714,0.114285714285714,0.035643187698453
"Other",4.297,148.004,16.49,1,1,4,6,5,1,0.258,0,0.833333333333333,0.114285714285714,0.114285714285714,0.035643187698453
"mRNA",0.847,86.089,67.81,2,4,2,4,3,1,0.118,0,0.75,0.0952380952380952,0.19047619047619,0.244491636951012
"mRNA",0.507,113.903,131.04,1,6,5,4,4,0,0,1,1,0.178571428571429,0.214285714285714,0.353722399179399
"Other",0.507,113.903,131.04,1,6,5,4,4,0,0,1,1,0.178571428571429,0.214285714285714,0.353722399179399
"mRNA",0.507,113.903,131.04,1,6,5,4,4,0,0,1,1,0.178571428571429,0.214285714285714,0.353722399179399
"mRNA",0.507,113.903,131.04,1,6,5,4,4,0,0,1,1,0.178571428571429,0.214285714285714,0.353722399179399
"Other",0.507,113.903,131.04,1,6,5,4,4,0,0,1,1,0.178571428571429,0.214285714285714,0.353722399179399
"Repeat.RNA",0.507,113.903,131.04,1,6,5,4,4,0,0,1,1,0.178571428571429,0.214285714285714,0.353722399179399
"Other",0.507,113.903,131.04,1,6,5,4,4,0,0,1,1,0.178571428571429,0.214285714285714,0.353722399179399
"Other",0.507,113.903,131.04,1,6,5,4,4,0,0,1,1,0.178571428571429,0.214285714285714,0.353722399179399
"G.Quadruplex",0.507,113.903,131.04,1,6,5,4,4,0,0,1,1,0.178571428571429,0.214285714285714,0.353722399179399
"Other",0.507,113.903,131.04,1,6,5,4,4,0,0,1,1,0.178571428571429,0.214285714285714,0.353722399179399
"mRNA",0.507,113.903,131.04,1,6,5,4,4,0,0,1,1,0.178571428571429,0.214285714285714,0.353722399179399
"G.Quadruplex",4.159,121.368,96.06,8,0,2,7,6,1,0.091,0,0.857142857142857,0.0625,0.3125,0.208601160487822
"G.Quadruplex",4.159,121.368,96.06,8,0,2,7,6,1,0.091,0,0.857142857142857,0.0625,0.3125,0.208601160487822
"Other",4.159,121.368,96.06,8,0,2,7,6,1,0.091,0,0.857142857142857,0.0625,0.3125,0.208601160487822
"Other",4.159,121.368,96.06,8,0,2,7,6,1,0.091,0,0.857142857142857,0.0625,0.3125,0.208601160487822
"G.Quadruplex",4.159,121.368,96.06,8,0,2,7,6,1,0.091,0,0.857142857142857,0.0625,0.3125,0.208601160487822
"G.Quadruplex",4.159,121.368,96.06,8,0,2,7,6,1,0.091,0,0.857142857142857,0.0625,0.3125,0.208601160487822
"G.Quadruplex",4.159,121.368,96.06,8,0,2,7,6,1,0.091,0,0.857142857142857,0.0625,0.3125,0.208601160487822
"G.Quadruplex",4.159,121.368,96.06,8,0,2,7,6,1,0.091,0,0.857142857142857,0.0625,0.3125,0.208601160487822
"G.Quadruplex",4.159,121.368,96.06,8,0,2,7,6,1,0.091,0,0.857142857142857,0.0625,0.3125,0.208601160487822
"Other",4.159,121.368,96.06,8,0,2,7,6,1,0.091,0,0.857142857142857,0.0625,0.3125,0.208601160487822
"Other",4.159,121.368,96.06,8,0,2,7,6,1,0.091,0,0.857142857142857,0.0625,0.3125,0.208601160487822
"miRNA",5.135,174.132,123.45,5,3,11,4,3,1,0.576,2,0.75,0.255813953488372,0.232558139534884,0.209305046209875
"miRNA",5.135,174.132,123.45,5,3,11,4,3,1,0.576,2,0.75,0.255813953488372,0.232558139534884,0.209305046209875
"miRNA",5.135,174.132,123.45,5,3,11,4,3,1,0.576,2,0.75,0.255813953488372,0.232558139534884,0.209305046209875
"Other",5.135,174.132,123.45,5,3,11,4,3,1,0.576,2,0.75,0.255813953488372,0.232558139534884,0.209305046209875
"Other",5.135,174.132,123.45,5,3,11,4,3,1,0.576,2,0.75,0.255813953488372,0.232558139534884,0.209305046209875
"Repeat.RNA",-2.123,87.328,153.58,2,6,4,2,2,0,0,1,1,0.173913043478261,0.347826086956522,0.488565257086868
"Repeat.RNA",-2.123,87.328,153.58,2,6,4,2,2,0,0,1,1,0.173913043478261,0.347826086956522,0.488565257086868
"Other",3.153,114.059,44.34,1,3,3,5,4,1,0.375,0,0.8,0.107142857142857,0.142857142857143,0.118077525325153
"Repeat.RNA",3.153,114.059,44.34,1,3,3,5,4,1,0.375,0,0.8,0.107142857142857,0.142857142857143,0.118077525325153
"Repeat.RNA",3.153,114.059,44.34,1,3,3,5,4,1,0.375,0,0.8,0.107142857142857,0.142857142857143,0.118077525325153
"tRNA",3.153,114.059,44.34,1,3,3,5,4,1,0.375,0,0.8,0.107142857142857,0.142857142857143,0.118077525325153
"Repeat.RNA",3.153,114.059,44.34,1,3,3,5,4,1,0.375,0,0.8,0.107142857142857,0.142857142857143,0.118077525325153
"tRNA",3.153,114.059,44.34,1,3,3,5,4,1,0.375,0,0.8,0.107142857142857,0.142857142857143,0.118077525325153
"Other",3.153,114.059,44.34,1,3,3,5,4,1,0.375,0,0.8,0.107142857142857,0.142857142857143,0.118077525325153
"G.Quadruplex",3.153,114.059,44.34,1,3,3,5,4,1,0.375,0,0.8,0.107142857142857,0.142857142857143,0.118077525325153
"Other",3.153,114.059,44.34,1,3,3,5,4,1,0.375,0,0.8,0.107142857142857,0.142857142857143,0.118077525325153
"Repeat.RNA",3.153,114.059,44.34,1,3,3,5,4,1,0.375,0,0.8,0.107142857142857,0.142857142857143,0.118077525325153
"Other",3.153,114.059,44.34,1,3,3,5,4,1,0.375,0,0.8,0.107142857142857,0.142857142857143,0.118077525325153
"Other",3.153,114.059,44.34,1,3,3,5,4,1,0.375,0,0.8,0.107142857142857,0.142857142857143,0.118077525325153
"Other",3.153,114.059,44.34,1,3,3,5,4,1,0.375,0,0.8,0.107142857142857,0.142857142857143,0.118077525325153
"Other",3.153,114.059,44.34,1,3,3,5,4,1,0.375,0,0.8,0.107142857142857,0.142857142857143,0.118077525325153
"Other",3.431,97.521,143.64,6,2,6,4,4,0,0.176,0,1,0.222222222222222,0.37037037037037,0.392097986280392
"Repeat.RNA",3.431,97.521,143.64,6,2,6,4,4,0,0.176,0,1,0.222222222222222,0.37037037037037,0.392097986280392
"Other",3.431,97.521,143.64,6,2,6,4,4,0,0.176,0,1,0.222222222222222,0.37037037037037,0.392097986280392
"Other",4.921,114.852,113.16,5,3,5,5,5,0,0,0,1,0.161290322580645,0.258064516129032,0.274390465683006
"Repeat.RNA",4.921,114.852,113.16,5,3,5,5,5,0,0,0,1,0.161290322580645,0.258064516129032,0.274390465683006
"Other",4.921,114.852,113.16,5,3,5,5,5,0,0,0,1,0.161290322580645,0.258064516129032,0.274390465683006
"Other",6.396,118.637,70.92,3,2,4,5,5,0,0,1,1,0.133333333333333,0.2,0.171360640210311
